
Kraj,Procent
Grenlandia,
Falklandy (Malwiny),
Svalbard i Jan Mayen,
Wyspy Marshalla,
Włochy,100
Mikronezja,
San Marino,
Sint Maarten,
Andora,
Szwajcaria,77
Brytyjskie Wyspy Dziewicze,
Saint-Pierre i Miquelon,
Hiszpania,72
Liechtenstein,
Francja,70
Malta,
Tonga,
Australia,65
Irlandia,65
Luksemburg,
Gibraltar,
Palau,
Saint-Martin,
Nowa Zelandia,62
Austria,62
Belgia,60
Zjednoczone Emiraty Arabskie,60
Komory,
Stany Zjednoczone,60
Guernsey,
Kanada,60
Vanuatu,
Malediwy,
Jersey,
Rumunia,55
Wielka Brytania,55
Portugalia,55
Panama,52
Nowa Kaledonia,
Wyspy Owcze,
Katar,
Peru,47
Kuba,
Niemcy,47
Wyspy Świętego Tomasza i Książęca,
Dania,
Bermudy,
Kajmany,
Bahrajn,
Finlandia,
Dominika,
Bhutan,
Niderlandy Karaibskie,
Wyspy Salomona,
Argentyna,42
Kostaryka,42
Singapur,42
Guam,
Urugwaj,42
Kolumbia,40
Dżibuti,
Fidżi,
Paragwaj,
Saint Kitts i Nevis,
Majotta,
Ekwador,37
Dominikana,37
Aruba,
Belize,
Salwador,
Chile,37
Reunion,
Curaçao,
Polinezja Francuska,
Wyspy Dziewicze Stanów Zjednoczonych,
Wyspa Świętej Heleny,
Meksyk,35
Papua-Nowa Gwinea,
Wyspa Man,
Gwadelupa,
Republika Zielonego Przylądka,
Mauritius,
Seszele,
Martynika,
Bahamy,
Republika Południowej Afryki,32
Senegal,
Wenezuela,32
Holandia,32
Maroko,32
Barbados,
Kambodża,
Szwecja,30
Antigua i Barbuda,
Honduras,
Cypr,
Boliwia,27
Nikaragua,
Trynidad i Tobago,
Gwatemala,
Oman,
Saint Lucia,
Mariany Północne,
Indie,25
Malezja,25
Brunei,
Liberia,
Brazylia,25
Saint-Barthélemy,
Estonia,
Haiti,
Portoryko,
Kuwejt,
Jamajka,
Gujana Francuska,
Botswana,
Islandia,
Bułgaria,
Madagaskar,
Tunezja,
Nepal,
Gwinea Równikowa,
Czechy,
Samoa,
Eswatini,
Surinam,
Macedonia Północna,
Ghana,
Republika Środkowoafrykańska,
Liban,
Saint Vincent i Grenadyny,
Albania,
Turks i Caicos,
Namibia,
Słowacja,
Norwegia,
Gruzja,
Słowenia,
Chiny,
Mongolia,
Gambia,
Lesotho,
Grenada,
Sri Lanka,
Sudan Południowy,
Litwa,
Algieria,15
Niger,
Filipiny,15
Węgry,
Pakistan,15
Czad,
Kosowo,
Togo,
Côte d’Ivoire,
Łotwa,
Chorwacja,
Laos,
Izrael,12
Mjanma (Birma),
Benin,
Demokratyczna Republika Konga,
Hongkong,12
Kamerun,
Kenia,
Mozambik,
Burkina Faso,
Angola,
Mauretania,
Tajlandia,12
Kongo,
Arabia Saudyjska,
Gwinea Bissau,
Uganda,
Sierra Leone,
Zimbabwe,
Mali,
Bośnia i Hercegowina,
Rwanda,
Gabon,
Afganistan,
Grecja,10
Korea Południowa,10
Serbia,
Makau,
Jordania,
Czarnogóra,
Mołdawia,
Burundi,
Etiopia,
Gujana,
Somalia,
Tanzania,
Sahara Zachodnia,
Nigeria,7
Gwinea,
Malawi,
Timor Wschodni,
Armenia,
Zambia,
Polska,5
Iran,
Azerbejdżan,
Palestyna,
Bangladesz,
Wietnam,
Turcja,5
Egipt,
Irak,
Indonezja,2
Kirgistan,
Tajwan,2
Turkmenistan,
Rosja,
Ukraina,
Japonia,2
Kazachstan,
Uzbekistan,
Białoruś,
Tadżykistan,
Libia,
Sudan,
Syria,
Jemen,
Anguilla,
Wyspy Alandzkie,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Wyspa Bouveta,
Wyspy Kokosowe,
Wyspy Cooka,
Wyspa Bożego Narodzenia,
Erytrea,
Wyspy Heard i McDonalda,
Brytyjskie Terytorium Oceanu Indyjskiego,
Kiribati,
Monako,
Montserrat,
Norfolk,
Niue,
Nauru,
Pitcairn,
Korea Północna,
Georgia Południowa i Sandwich Południowy,
Tokelau,
Tuvalu,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Watykan,
Wallis i Futuna,
